Human,1,1,0,0,25.75,26.0,27.25,30.0,30.75,33.75,33.75,35.25,25.75,26.75,27.0,29.75,30.5,31.5,33.5,33.75,25.25,26.0,27.75,32.0,30.0,29.0,33.75,34.0,26.25,25.5,26.75,30.5,30.75,31.0,31.75,34.0,26.0,25.75,29.0,29.0,30.25,30.75,31.75,33.25,27.5,28.25,30.0,29.75,30.25,30.75,30.25,32.0,29.0,29.75,29.5,30.5,30.25,30.0,30.5,30.5,28.5,28.0,28.5,28.5,29.0,28.75,28.25,28.25
Laptop,1,0,1,1,25.5,23.75,24.25,24.5,25.25,24.25,25.75,28.5,25.25,25.75,25.0,25.25,25.25,27.0,27.5,27.75,25.0,24.75,25.0,25.75,26.0,26.75,28.25,27.5,25.0,24.5,25.0,25.75,28.25,27.0,26.5,27.5,26.0,24.25,26.25,28.25,27.75,28.0,27.25,28.25,28.0,28.25,28.75,30.25,29.75,29.5,28.5,29.0,30.75,31.0,31.0,31.75,31.0,30.25,29.0,31.0,32.25,30.25,30.75,31.0,31.5,31.25,30.75,29.0
Ceiling,1,1,1,1,22.25,24.25,21.75,21.75,22.5,22.5,22.5,23.25,23.0,22.0,20.0,21.5,21.75,21.75,22.75,22.25,20.5,23.0,21.75,22.0,21.75,21.0,22.0,21.5,22.75,21.5,21.5,22.75,22.0,21.0,21.75,22.25,22.0,21.25,21.0,21.75,21.25,20.5,21.0,22.5,23.0,22.0,22.75,21.5,22.75,22.0,21.25,23.0,23.0,21.25,21.75,22.25,22.0,22.25,21.0,21.25,22.75,21.0,20.25,23.0,21.75,23.5,21.25,21.75
Ice coffee,1,1,1,1,16.0,15.75,17.25,16.5,16.75,15.0,15.5,16.75,16.25,16.75,16.0,14.5,15.5,15.75,16.0,17.0,13.25,17.25,14.5,16.0,14.25,16.0,15.25,15.75,15.0,15.5,13.75,15.0,15.25,14.5,14.75,15.25,15.25,14.0,14.5,13.0,14.5,13.5,14.5,14.25,15.5,13.5,14.0,14.5,14.25,14.25,14.75,14.75,16.0,15.0,13.25,14.25,13.25,14.75,13.5,15.0,14.5,14.25,14.5,13.75,14.25,12.75,12.75,13.75
Hot Coffee,1,1,1,0,24.5,23.5,25.75,27.25,30.75,29.25,26.0,24.25,24.25,24.75,28.25,42.5,44.0,40.25,28.0,25.75,23.75,24.25,32.75,47.5,47.25,46.75,27.5,24.25,24.25,24.5,29.25,41.5,43.75,39.75,26.25,24.5,24.0,24.5,28.75,38.25,42.0,37.0,25.5,24.75,23.75,24.0,26.75,42.75,44.75,40.5,25.75,23.75,23.75,23.25,27.5,46.5,48.0,41.0,26.0,25.0,23.75,24.0,26.25,39.0,43.25,33.0,24.75,23.75
Human,1,0,0,0,23.75,23.5,23.25,22.25,24.75,22.0,23.0,23.25,24.5,22.75,22.5,23.25,22.25,23.5,23.25,22.75,24.0,24.0,23.5,24.25,23.5,22.0,23.75,21.75,24.5,22.75,25.0,27.75,25.5,22.25,23.5,25.25,27.75,26.0,29.75,29.5,27.25,27.25,27.0,25.75,29.25,30.25,31.0,31.0,29.75,29.5,28.0,28.5,30.5,30.75,30.75,30.75,30.0,30.25,29.25,27.0,28.5,27.75,28.75,29.25,29.25,28.25,28.25,29.25
Battery,1,1,1,1,24.25,24.0,23.0,23.0,25.25,24.25,23.75,24.5,25.25,23.75,24.0,23.5,24.25,24.0,24.5,25.25,24.0,25.0,25.0,25.0,25.0,24.25,23.5,24.0,25.25,25.5,23.75,26.0,26.25,25.25,23.5,26.5,27.0,28.75,27.75,29.0,29.0,28.25,26.5,26.5,28.5,36.25,36.75,36.5,36.5,37.25,32.5,28.5,28.5,35.25,37.25,36.5,36.5,37.75,33.25,30.5,29.25,31.75,35.5,36.5,38.0,37.5,32.75,31.25
Water bottle,1,1,1,1,23.75,24.25,22.5,22.5,23.5,23.25,22.5,24.75,23.0,24.25,21.75,22.5,22.75,23.75,24.25,24.25,22.75,23.5,22.75,24.0,22.75,22.5,23.0,22.0,23.75,24.25,23.0,23.0,24.25,23.75,23.0,24.0,23.75,23.5,23.75,23.5,22.75,23.5,23.25,24.0,23.75,24.0,23.25,24.0,23.5,23.75,24.5,24.25,23.75,23.75,22.5,23.75,23.0,23.75,23.25,25.75,26.5,23.5,23.0,24.25,23.5,24.0,24.75,27.5
Human,1,1,0,0,28.25,25.5,25.0,25.25,25.75,25.5,28.75,31.75,26.25,26.75,24.75,24.75,25.25,26.75,26.5,30.75,28.0,30.0,30.25,29.5,28.5,26.5,27.25,28.25,31.75,32.25,32.0,32.75,31.75,28.0,26.25,30.0,33.25,32.5,32.25,32.0,31.0,31.25,30.0,30.0,33.75,32.0,32.5,31.75,33.0,32.0,31.5,30.5,31.75,32.0,32.25,32.75,31.5,31.75,30.5,29.75,29.5,28.75,30.0,31.0,30.75,31.0,29.5,30.5
